age,gendar,stage,martial status ,location,college,do you support feminism,are a membet from womens organization?,does feminism affect divorce and family problems?
18,مێ,1,سەڵت,دەرەوەی شار,زانکۆی تیشک,بەڵێ,نەخێر,نەخێر
18,نێر,1,سەڵت,سلێمانی,college of science,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,qaiwan,بەڵێ,نەخێر,نەخێر
18,نێر,1,سەڵت,دەرەوەی شار,ADAB,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,پەووەردە,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,scince,نەخێر,نەخێر,بەڵێ
21+,نێر,4,سەڵت,دەرەوەی شار,hmu,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,ژمێریاری,بەڵێ,نەخێر,نەخێر
19,نێر,1,سەڵت,سلێمانی,Computer Seince ,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,سلێمانی,Qaiwan university ,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,College of nursing ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Public relation and marketing ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Uhd,بەڵێ,نەخێر,نەخێر
21+,مێ,2,سەڵت,سلێمانی,کۆلێژ,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,دەرەوەی شار,slemani polytechnic,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,English ,نەخێر,نەخێر,بەڵێ
21+,مێ,,سەڵت,سلێمانی,,بەڵێ,نەخێر,بەڵێ
18,نێر,1,سەڵت,سلێمانی,Computer Science,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,پەرستاری,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,علوم کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,Salahadin,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Pharmacy ,بەڵێ,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,CHS,بەڵێ,نەخێر,نەخێر
21,مێ,2,سەڵت,سلێمانی,کارگێڕی,بەڵێ,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,cs,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,کارگێڕی ,بەڵێ,نەخێر,نەخێر
21+,مێ,1,خێزاندار,سلێمانی,ياسا,,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,College of basic education ,بەڵێ,نەخێر,بەڵێ
21+,مێ,3,سەڵت,سلێمانی,زانست-کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
21+,نێر,2,سەڵت,سلێمانی,geology,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
21+,نێر,2,سەڵت,سلێمانی,Basic education ,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Basic education ,بەڵێ,نەخێر,نەخێر
21+,نێر,4,سەڵت,دەرەوەی شار,زانستی کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,Basic education ,,بەڵێ,بەڵێ
21+,نێر,4,سەڵت,سلێمانی,Computer,نەخێر,نەخێر,بەڵێ
21+,نێر,2,سەڵت,سلێمانی,geology,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,پەروەردەی بنەڕەت,بەڵێ,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,زانستی تاقیگەی پزیشکی ,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,دەرەوەی شار,پەروەردەی بنەڕەت بەشی ئینگلیزی,نەخێر,نەخێر,نەخێر
19,مێ,2,سەڵت,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
21,مێ,4,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,Science ,نەخێر,نەخێر,بەڵێ
21+,مێ,1,سەڵت,دەرەوەی شار,کۆلێجی تەکنیکی زانستە پراکتیکیەکان ,نەخێر,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,زانست,بەڵێ,نەخێر,نەخێر
19,مێ,1,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
,,,,,,,,
20,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
21+,نێر,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
,مێ,,سەڵت,سلێمانی,Qaiwan university ,بەڵێ,نەخێر,بەڵێ
